word,counted
바다,373
비치,303
해수욕장,298
여행,285
해변,265
가족,227
속초,205
손양면,176
리조트,176
거리,175
동해,174
처음,174
여름,174
캠핑,174
전화,170
낙산,168
예약,163
이용,162
호텔,156
맛집,153
추천,153
아이들,152
가격,148
준비,147
파도,146
날씨,144
지도,140
체험,136
횟집,136
보기,135
마음,134
모습,133
선사,127
근처,127
수산항,125
낙산사,125
주변,123
강릉,121
최고,121
느낌,119
서울,119
요즘,117
고기,116
보니,113
유적,112
운영,111
동해안,109
낙산해수욕장,109
추억,108
친구,108
자리,108
출발,107
장소,107
오토,107
시설,106
구경,105
바람,104
낚시,103
동호리,102
사랑,99
입구,99
행복,99
하루,98
소개,96
여름휴가,96
만원,96
음식,95
조대,94
휴가,93
캠핑장,93
풍경,92
설악산,92
일출,92
걱정,92
방문,91
식당,90
바닷가,89
주말,89
인기,89
배낚시,89
마지막,88
기분,88
솔밭,87
참고,86
가자미,85
필요,84
아빠,84
텐트,83
안전,83
한곳,83
동안,83
가지,82
인근,82
소나무,81
.com,81
하늘,80
물놀이,80
모래,79
지금,79
연인,79
이야기,78
감사,78
기대,78
엄마,78
조금,77
안녕하세요,77
화장실,76
식사,76
전문,76
여유,76
오산리,75
무료,75
선상,74
기억,74
숙박,74
마을,74
블로그,73
자연,73
사실,73
지역,73
코스,73
스팅,73
점심,72
만족,72
정보,72
완전,72
아래,72
소리,71
건물,71
제가,71
낙산항,70
이랑,69
사이,69
서핑,68
바다낚시,68
관심,68
제일,67
홍합,66
구이,66
오후,65
아이,65
주차장,65
골든,65
크기,64
대포항,64
사용,64
공간,64
주차,64
새벽,64
샤워,64
숙소,63
이유,63
다음날,63
이름,63
주문진,62
대게,62
오전,62
손님,61
고속도로,61
개인,61
이동,60
서비스,60
가을,60
국물,60
대명,60
마리,60
월드,59
힐링,59
커피,59
휴게,59
재미,59
진행,59
포인트,58
확인,58
최신,58
그런지,57
할인,57
겨울,56
어린이,56
선택,56
한잔,56
그늘,56
방법,56
물치항,56
매력,56
분위기,56
산책로,56
7월,56
카페,56
마무리,55
계획,55
대표,55
산책,55
연산,54
저장,54
죽도,54
기본,54
가족캠프,54
.kr,54
부부,54
먹거리,54
고민,54
바위,53
원래,53
검색,53
문어,53
명소,52
8월,52
이제,52
예전,52
계곡,52
아쿠아,52
경우,52
송이,52
대박,52
폴더,51
말씀,51
3분,51
조개,51
라면,51
투명,51
반찬,51
편안,51
사장,51
단체,51
최대,51
콘도,50
방파제,50
추가,50
매운탕,50
맥주,50
시장,50
동호,49
나무,49
테이블,49
동명,49
남애항,49
장비,48
강원,48
여성,48
촬영,47
박물관,47
대여,47
생활,47
볼거리,47
부분,47
도로,47
설악,47
내부,47
관광,47
모임,47
휴양,47
조림,46
경험,46
친절,46
만큼,46
자랑,46
혼자,46
덕분,45
관리,45
문의,45
바닷물,45
대부분,45
일반,45
기회,44
해장,44
좋아서,44
회사,44
튜브,44
10분,44
수산,44
인구,44
구름,44
타임,44
순간,44
카누,43
출조,43
파란,43
남대천,43
일정,43
공기,43
요리,43
그릇,43
안내,43
한번,43
아들,42
의자,42
오징어,42
연휴,42
물고기,42
콘도미니엄,41
전경,41
요트,41
외옹치항,41
대한민국,41
삼척,41
부족,41
고성,41
놀이,41
분이,41
다래,41
이예,41
부추,41
얼마,41
개통,41
판매,41
활어,40
손질,40
주소,40
고생,40
오산항,40
전날,40
진호,40
포함,40
작년,40
예정,40
건강,40
장점,40
다리,40
주시,39
해수욕,39
밑반찬,39
중간,39
세상,39
방향,39
오시,39
가게,39
수평선,39
사이트,38
한참,38
정리,38
국내,38
현장,38
도구,38
해주시,38
필수,38
각종,38
규모,38
어촌,38
경포대,38
김치,38
나름,37
인제,37
지인,37
전용,37
해산물,37
참가자,37
어선,37
오픈,36
관광객,36
직원,36
초보자,36
천원,36
제공,36
휴식,36
설치,36
기념,36
전진,36
얼굴,35
고고,35
이건,35
가운데,35
등등,35
동산,35
인증,35
